wordID	wordCS	word	lemma	Pos
610	There	there	there	rl
611	town	town	town	nn1
612	left	left	leave	vvd
613	Give	give	give	vv0
614	while	while	while	cs
615	as	as	as	cs33
616	everybody	everybody	everybody	pn1
617	oh	oh	oh	uh
618	anymore	anymore	anymore	rr
619	remember	remember	remember	vvi
620	How	how	how	rgq@_rrq
621	better	better	better	jjr
622	line	line	line	nn1
623	Stop	stop	stop	vv0
624	power	power	power	nn1
625	of	of	of	rr21
626	almost	almost	almost	rr
627	deal	deal	deal	nn1
628	whatever	whatever	whatever	ddqv
629	gun	gun	gun	nn1
630	On	on	on	ii
631	about	about	about	ii_rp@
632	These	these	these	dd2
633	fact	fact	fact	nn1
634	care	care	care	nn1
635	move	move	move	vvi
636	Hmm	hmm	hmm	uh
637	of	of	of	ii33
638	Mrs	mrs	--	#nnb
639	..	..	...	...
640	of	of	of	rr22
641	means	means	mean	vvz
642	shit	shit	shit	nn1
643	up	up	up	ii21
644	Great	great	great	jj
645	other	other	other	ppx222
646	each	each	each	ppx221
647	can	can	can	vm_vv0%
648	more	more	more	rrr_dar
649	better	better	better	rrr_jjr
650	Whoa	whoa	whoa	uh
651	ai	ai	ai	fu
652	over	over	over	ii_rp
653	asked	asked	ask	vvd
654	trouble	trouble	trouble	nn1
655	used	used	use	vmk
656	needs	needs	need	vvz
657	understand	understand	understand	vv0
658	WE	we	we	ppis2
659	bit	bit	bit	nn1
660	girls	girls	girl	nn2
661	dinner	dinner	dinner	nn1
662	care	care	care	vvi
663	OF	of	of	io
664	IS	is	be	vbz
665	rest	rest	rest	nn1
666	love	love	love	vvi
667	over	over	over	rp_ii
668	off	off	off	rp_ii
669	yours	yours	yours	ppge
670	Was	was	be	vbdz
671	help	help	help	nn1
672	wait	wait	wait	vvi
673	hard	hard	hard	jj
674	call	call	call	vv0
675	where	where	where	rrq_cs
676	Our	our	our	appge
677	Me	me	me	ppio1
678	murder	murder	murder	nn1
679	hour	hour	hour	nnt1
680	food	food	food	nn1
681	die	die	die	vvi
682	so	so	so	rr_rg
683	women	women	woman	nn2
684	in	in	in	ii31
685	Miss	miss	miss	nnb
686	tried	tried	try	vvd
687	sex	sex	sex	nn1
688	doctor	doctor	doctor	nn1
689	sister	sister	sister	nn1
690	alive	alive	alive	jj
691	seems	seems	seem	vvz
692	to	to	to	ii_to
693	as	as	as	csa_ii@
694	Could	could	could	vm
695	live	live	live	vvi
696	soon	soon	soon	rr
697	stupid	stupid	stupid	jj
698	funny	funny	funny	jj
699	back	back	back	nn1_rp
700	call	call	call	nn1
701	full	full	full	jj
702	play	play	play	vvi
703	bed	bed	bed	nn1
704	called	called	call	vvn
705	to	to	to	ii@
706	taken	taken	take	vvn
707	look	look	look	nn1
708	John	john	john	np1
709	in	in	in	ii_rp%
710	Two	two	two	mc
711	since	since	since	cs
712	ready	ready	ready	jj
713	six	six	six	mc
714	as	as	as	ii
715	hot	hot	hot	jj
716	thanks	thanks	thanks	nn2
717	himself	himself	himself	ppx1
718	there	there	there	ex_rl
719	both	both	both	db2
720	listen	listen	listen	vv0
721	child	child	child	nn1
722	Ooh	ooh	ooh	uh
723	cause	cause	cause	nn1_vv0
724	Right	right	right	rr_nn1
725	run	run	run	vvi
726	started	started	start	vvd
727	waiting	waiting	wait	vvg
728	possible	possible	possible	jj
729	parents	parents	parent	nn2
730	I-I	i-i	--	ppis1
731	killed	killed	kill	vvd
732	boys	boys	boy	nn2
733	plan	plan	plan	nn1
734	[?]	[?]	--	@1
735	once	once	once	rr
736	book	book	book	nn1
737	quite	quite	quite	rg
738	before	before	before	ii_cs
739	Some	some	some	dd
740	em	em	em	fu
741	fire	fire	fire	nn1
742	long	long	long	rr_jj
743	city	city	city	nn1
744	come	come	come	vvn
745	To	to	to	ii
746	weeks	weeks	week	nnt2
747	that	that	that	cs22
748	children	children	child	nn2
749	WHAT	what	what	ddq
750	wish	wish	wish	vv0
751	anyway	anyway	anyway	rr
752	Jack	jack	jack	np1
753	died	died	die	vvd
754	pay	pay	pay	vvi
755	serious	serious	serious	jj
756	happens	happens	happen	vvz
757	sense	sense	sense	nn1
758	like	like	like	ii_vv0@
759	anybody	anybody	anybody	pn1
760	wan	wan	wan	vvi
761	right	right	right	jj_nn1
762	late	late	late	jj
763	hair	hair	hair	nn1
764	show	show	show	nn1
765	war	war	war	nn1
766	THAT	that	that	dd1
767	evidence	evidence	evidence	nn1
768	alone	alone	alone	jj
769	asking	asking	ask	vvg
770	perfect	perfect	perfect	jj
771	lady	lady	lady	nn1
772	change	change	change	vvi
773	THIS	this	this	dd1
774	behind	behind	behind	ii
775	free	free	free	jj
776	put	put	put	vv0_vvd
777	safe	safe	safe	jj
778	Fine	fine	fine	jj
779	glad	glad	glad	jj
780	Huh	huh	huh	uh
781	country	country	country	nn1
782	company	company	company	nn1
783	through	through	through	ii_rp@
784	Sam	sam	sam	np1
785	her	her	her	appge_ppho1
786	DO	do	do	np
787	luck	luck	luck	nn1
788	Man	man	man	nn1
789	Something	something	something	pn1
790	later	later	later	rrr
791	dog	dog	dog	nn1
792	weird	weird	weird	jj
793	date	date	date	nn1
794	hate	hate	hate	vv0
795	eat	eat	eat	vvi
796	Any	any	any	dd
797	turn	turn	turn	vvi
798	questions	questions	question	nn2
799	At	at	at	ii
800	ass	ass	ass	nn1
801	found	found	find	vvn
802	hear	hear	hear	vv0
803	told	told	tell	vvn
804	hospital	hospital	hospital	nn1
805	Very	very	very	rg
806	heard	heard	hear	vvn
807	special	special	special	jj
808	honey	honey	honey	nn1
809	system	system	system	nn1
810	IN	in	in	ii
811	Everything	everything	everything	pn1
812	Actually	actually	actually	rr
813	save	save	save	vvi
814	Mm-hmm	mm-hmm	mm-hmm	uh
815	matter	matter	matter	nn1
